epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,314.213,0.83076,1.78398,1.06871,0.36029,0.52381,0.37897,0.30586,0.80595,4.60448,1.23401,0.000999282,0.000999282,0.000999282
45,321.7,0.85177,1.84663,1.10588,0.26746,0.52381,0.32177,0.25857,0.74823,4.5203,1.22403,0.00100463,0.00100463,0.00100463
46,332.455,0.79673,1.7336,1.04662,0.28022,0.63049,0.32584,0.2687,0.66327,4.49786,1.10127,0.00100919,0.00100919,0.00100919
47,343.16,0.82537,1.77554,1.1122,0.31304,0.66667,0.40002,0.33267,0.68564,4.16924,1.13618,0.00101296,0.00101296,0.00101296
48,352.897,0.82566,1.70934,1.04598,0.34855,0.80952,0.34577,0.25949,0.81869,3.88764,1.33474,0.00101593,0.00101593,0.00101593
49,362.421,0.84865,1.79523,1.09011,0.22443,0.38095,0.26411,0.19604,0.87046,4.2949,1.32932,0.00101811,0.00101811,0.00101811
50,370.962,0.80059,1.69518,1.06837,0.30185,0.66667,0.30025,0.13434,1.34741,6.08224,1.47757,0.0010195,0.0010195,0.0010195
51,379.96,0.82797,1.75826,1.0952,0.01142,0.52381,0.00992,0.00255,2.61032,8.2225,2.32522,0.00101,0.00101,0.00101
52,390.295,0.80737,1.66563,1.07116,0.00146,0.85714,0.00489,0.00139,3.09746,9.29413,2.91853,0.0009902,0.0009902,0.0009902
53,402.529,0.84524,1.79922,1.07322,0.00608,0.14286,0.00415,0.00108,3.37803,7.6017,3.31694,0.0009704,0.0009704,0.0009704
54,414.722,0.80761,1.59285,1.07693,0.026,0.28571,0.01285,0.00315,2.88205,6.34128,3.17526,0.0009506,0.0009506,0.0009506
55,426.921,0.86138,1.80016,1.08916,0.10611,0.33333,0.07,0.02067,1.80489,4.96071,2.29226,0.0009308,0.0009308,0.0009308
56,439.227,0.77515,1.55748,1.03992,0.44837,0.2381,0.27903,0.14798,0.96813,4.09707,1.30033,0.000911,0.000911,0.000911
57,451.709,0.81434,1.53574,1.04177,0.20206,0.04762,0.03045,0.02614,1.07336,5.05704,1.33365,0.0008912,0.0008912,0.0008912
58,464.538,0.75379,1.60834,1.04008,0.5121,0.2381,0.19299,0.04281,1.6945,5.61173,1.93374,0.0008714,0.0008714,0.0008714
59,476.552,0.71732,1.50294,1.02068,0.5233,0.41867,0.3377,0.13474,1.12234,4.39335,1.4353,0.0008516,0.0008516,0.0008516
60,488.468,0.77962,1.47936,1.05357,0.39415,0.38095,0.25088,0.16545,0.79155,3.56851,1.17142,0.0008318,0.0008318,0.0008318
61,499.529,0.8174,1.50427,1.03885,0.08417,0.28571,0.06997,0.0525,0.74933,3.69016,1.13867,0.000812,0.000812,0.000812
62,514.844,0.77606,1.39497,1.03981,0.2702,0.38095,0.20885,0.16254,0.71777,3.09326,1.11037,0.0007922,0.0007922,0.0007922
63,529.54,0.78353,1.5737,1.04118,0.2684,0.33333,0.14553,0.1229,0.77161,2.31397,1.19575,0.0007724,0.0007724,0.0007724
64,544.808,0.7586,1.58448,1.06424,0.29358,0.71429,0.2992,0.23536,0.62496,2.10128,1.04964,0.0007526,0.0007526,0.0007526
65,560.249,0.84205,1.52192,1.03942,0.27004,0.61905,0.26146,0.21734,0.56058,2.47917,0.97247,0.0007328,0.0007328,0.0007328
66,575.604,0.79072,1.61053,1.0281,0.30039,1,0.38019,0.32252,0.57638,2.48264,0.99068,0.000713,0.000713,0.000713
67,588.108,0.71834,1.47684,1.0254,0.2999,1,0.40504,0.33396,0.62945,2.06632,1.03563,0.0006932,0.0006932,0.0006932
68,606.908,0.71898,1.52423,1.05704,0.31644,0.90476,0.31331,0.2548,0.62908,1.94381,1.00955,0.0006734,0.0006734,0.0006734
69,623.093,0.70163,1.44908,1.05238,0.29734,0.71429,0.22367,0.19347,0.54969,2.07859,0.95441,0.0006536,0.0006536,0.0006536
70,634.522,0.79012,1.4114,1.05903,0.3429,0.99404,0.38122,0.31855,0.61225,2.07975,1.03809,0.0006338,0.0006338,0.0006338
71,645.783,0.75852,1.37679,1.03655,0.33702,0.96843,0.34254,0.25525,0.80433,2.41014,1.25132,0.000614,0.000614,0.000614
72,654.903,0.73083,1.50666,1.04065,0.29845,0.81032,0.32042,0.21659,0.97466,2.76716,1.31515,0.0005942,0.0005942,0.0005942
73,664.624,0.73767,1.41533,1.05065,0.29884,0.90476,0.3087,0.19538,1.00205,2.90705,1.26102,0.0005744,0.0005744,0.0005744
74,671.942,0.77726,1.33696,1.05522,0.30843,0.93462,0.30907,0.19618,0.93385,2.8539,1.22608,0.0005546,0.0005546,0.0005546
75,681.562,0.7496,1.48928,1.0285,0.24948,0.80952,0.26503,0.19429,0.84997,2.75164,1.20299,0.0005348,0.0005348,0.0005348
76,689.689,0.78835,1.48497,1.02765,0.07719,0.2381,0.10935,0.08122,0.97328,3.17098,1.2992,0.000515,0.000515,0.000515
77,696.985,0.66582,1.46032,0.99748,0.00131,1,0.02535,0.01623,1.32824,3.71063,1.5555,0.0004952,0.0004952,0.0004952
78,704.433,0.72226,1.32003,0.99247,0.00135,1,0.03891,0.02218,1.22581,3.61425,1.46345,0.0004754,0.0004754,0.0004754
79,712.572,0.70891,1.32918,1.04514,0.10233,0.19048,0.09378,0.07251,0.8667,3.33135,1.19554,0.0004556,0.0004556,0.0004556
80,723.442,0.71267,1.40672,1.0142,0.12813,0.26619,0.24482,0.20594,0.72632,3.0983,1.0811,0.0004358,0.0004358,0.0004358
81,734.738,0.77367,1.39966,1.04792,0.20629,0.49528,0.29296,0.25233,0.67301,2.95681,1.04614,0.000416,0.000416,0.000416
82,744.75,0.74593,1.34519,1.04305,0.23907,0.61905,0.31079,0.2567,0.7292,2.80761,1.06561,0.0003962,0.0003962,0.0003962
83,753.75,0.71051,1.40353,1.02027,0.16173,0.38594,0.27676,0.20422,1.0061,2.89633,1.2366,0.0003764,0.0003764,0.0003764
84,763.545,0.73398,1.44326,1.02751,0.20591,0.90476,0.21449,0.14839,1.1204,3.10158,1.29907,0.0003566,0.0003566,0.0003566
85,772.811,0.74056,1.31797,1.02455,0.00117,1,0.1929,0.12908,1.09774,3.24095,1.26218,0.0003368,0.0003368,0.0003368
86,780.379,0.71365,1.42423,1.01807,0.00126,1,0.23623,0.17489,0.99582,3.17662,1.18734,0.000317,0.000317,0.000317
87,788.521,0.69401,1.49727,1.03102,0.02522,0.04762,0.26169,0.20663,0.86899,3.08042,1.11733,0.0002972,0.0002972,0.0002972
88,795.94,0.77767,1.3757,1.00536,0.10233,0.21739,0.29674,0.23312,0.79258,2.82111,1.07721,0.0002774,0.0002774,0.0002774
89,803.397,0.75543,1.36987,1.06051,0.28002,0.75939,0.31061,0.24568,0.75531,2.49197,1.0508,0.0002576,0.0002576,0.0002576
90,810.797,0.69927,1.36455,1.01545,0.30375,0.95238,0.31187,0.24839,0.74296,2.05291,1.05174,0.0002378,0.0002378,0.0002378
91,820.407,0.6551,1.50286,1.02197,0.31167,1,0.31187,0.25497,0.6415,1.94677,1.00994,0.000218,0.000218,0.000218
92,829.247,0.64604,1.53878,0.99092,0.3136,1,0.32146,0.27731,0.54577,1.92923,0.96233,0.0001982,0.0001982,0.0001982
93,836.431,0.60484,1.47914,0.99683,0.32094,1,0.34254,0.30609,0.51756,2.01179,0.94502,0.0001784,0.0001784,0.0001784
94,843.609,0.61944,1.45894,0.99729,0.33948,1,0.34254,0.30056,0.5183,2.1269,0.94542,0.0001586,0.0001586,0.0001586
95,852.588,0.6044,1.51993,0.97505,0.33924,1,0.34254,0.29781,0.52366,2.20749,0.94883,0.0001388,0.0001388,0.0001388
96,860.424,0.58948,1.4572,0.95164,0.34235,1,0.34254,0.29856,0.52396,2.27333,0.94902,0.000119,0.000119,0.000119
97,869.261,0.60144,1.43703,0.99099,0.34303,1,0.34254,0.30034,0.51521,2.28059,0.94133,9.92e-05,9.92e-05,9.92e-05
98,876.473,0.57116,1.40675,0.95104,0.34414,1,0.34254,0.30041,0.5129,2.30186,0.9395,7.94e-05,7.94e-05,7.94e-05
99,883.65,0.58742,1.43191,0.98437,0.34243,0.99201,0.34254,0.30041,0.51541,2.32992,0.93905,5.96e-05,5.96e-05,5.96e-05
100,893.039,0.58995,1.41684,0.97841,0.3418,0.98929,0.34254,0.30048,0.51712,2.32036,0.93684,3.98e-05,3.98e-05,3.98e-05
