epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,286.89,0.21292,0.96344,0.79293,0.05545,0.33333,0.07021,0.0449,1.06529,4.65322,1.64588,0.000999282,0.000999282,0.000999282
45,293.604,0.20386,0.9038,0.79049,0.46659,0.09524,0.18156,0.13809,0.97068,4.3704,1.49031,0.00100463,0.00100463,0.00100463
46,300.327,0.20196,0.86113,0.79082,1,0.50668,0.76425,0.52943,1.0319,3.88209,1.50772,0.00100919,0.00100919,0.00100919
47,306.971,0.18227,0.84713,0.78809,1,0.64361,0.94917,0.69188,1.07151,3.87953,1.56234,0.00101296,0.00101296,0.00101296
48,313.619,0.18683,0.81142,0.78721,0.89555,0.81684,0.94917,0.69243,1.13661,3.56116,1.5257,0.00101593,0.00101593,0.00101593
49,321.142,0.19614,0.85305,0.78415,0.95392,0.9863,0.99318,0.73991,1.06491,2.76342,1.45272,0.00101811,0.00101811,0.00101811
50,330.166,0.17366,0.78219,0.77686,0.99346,1,0.995,0.76871,0.96035,2.4827,1.40065,0.0010195,0.0010195,0.0010195
51,338.414,0.18094,0.75497,0.78463,0.98976,1,0.995,0.75723,0.98298,2.89724,1.41985,0.00101,0.00101,0.00101
52,346.711,0.18021,0.71721,0.77768,1,0.65983,0.81975,0.60353,1.08611,3.24942,1.52226,0.0009902,0.0009902,0.0009902
53,356.671,0.15764,0.65875,0.7776,0.88497,0.47619,0.66925,0.49368,1.08032,3.23117,1.51921,0.0009704,0.0009704,0.0009704
54,367.217,0.14895,0.65823,0.76843,0.98012,0.71429,0.8784,0.62777,1.09054,2.6588,1.55928,0.0009506,0.0009506,0.0009506
55,378.96,0.14368,0.61007,0.77523,0.95499,0.61905,0.65891,0.4852,0.97267,2.50088,1.40035,0.0009308,0.0009308,0.0009308
56,390.885,0.15698,0.59731,0.77746,0.99593,0.66667,0.66516,0.49645,1.04926,2.12565,1.51397,0.000911,0.000911,0.000911
57,402.756,0.14278,0.58127,0.77508,0.92754,0.66667,0.64915,0.4515,1.11572,1.93037,1.64681,0.0008912,0.0008912,0.0008912
58,414.591,0.12964,0.5733,0.77322,0.93219,0.71429,0.6945,0.49738,1.09863,1.84586,1.63963,0.0008714,0.0008714,0.0008714
59,426.451,0.13638,0.5463,0.77656,0.92737,0.66667,0.65915,0.4866,1.0197,1.66872,1.50303,0.0008516,0.0008516,0.0008516
60,437.198,0.12164,0.52324,0.77346,0.9498,1,0.99091,0.73822,1.01066,1.58272,1.50273,0.0008318,0.0008318,0.0008318
61,450.16,0.11414,0.49192,0.77107,1,0.66662,0.66514,0.51752,0.93428,1.52813,1.41332,0.000812,0.000812,0.000812
62,464.348,0.09926,0.46475,0.76683,0.98604,0.66667,0.66515,0.52514,0.88244,1.46227,1.3467,0.0007922,0.0007922,0.0007922
63,479.295,0.09385,0.4718,0.767,0.98808,0.95238,0.95502,0.75124,0.94953,1.36936,1.41085,0.0007724,0.0007724,0.0007724
64,492.605,0.10769,0.44315,0.76712,0.99528,1,0.995,0.7974,0.92652,1.35242,1.38632,0.0007526,0.0007526,0.0007526
65,506.833,0.0918,0.43773,0.76385,0.99797,1,0.995,0.80319,0.88997,1.33685,1.33778,0.0007328,0.0007328,0.0007328
66,522.56,0.08955,0.4275,0.76903,0.99325,0.61905,0.61532,0.48847,0.95899,1.28368,1.40853,0.000713,0.000713,0.000713
67,537.051,0.08986,0.40763,0.76413,0.99397,0.52381,0.52538,0.41754,0.89721,1.14241,1.34406,0.0006932,0.0006932,0.0006932
68,551.141,0.08728,0.39346,0.76537,0.99565,0.61905,0.61536,0.49517,0.9089,1.10488,1.3512,0.0006734,0.0006734,0.0006734
69,564.16,0.08863,0.38215,0.76464,0.99608,1,0.995,0.78476,0.90709,1.07524,1.37294,0.0006536,0.0006536,0.0006536
70,573.182,0.08746,0.37673,0.76448,0.99417,1,0.995,0.76658,0.94493,1.04115,1.43177,0.0006338,0.0006338,0.0006338
71,581.766,0.08378,0.37191,0.76483,0.99301,1,0.995,0.77765,0.91506,1.05155,1.36138,0.000614,0.000614,0.000614
72,589.139,0.08184,0.3583,0.76524,0.99136,1,0.995,0.78468,0.90828,1.02853,1.34237,0.0005942,0.0005942,0.0005942
73,596.645,0.07673,0.35417,0.76445,0.98651,1,0.995,0.75117,0.96353,1.02293,1.42031,0.0005744,0.0005744,0.0005744
74,605.176,0.07253,0.37165,0.76175,0.98668,1,0.995,0.76895,0.95856,1.02251,1.38977,0.0005546,0.0005546,0.0005546
75,614.223,0.06627,0.33725,0.76158,0.99488,1,0.995,0.78148,0.89905,0.97194,1.30453,0.0005348,0.0005348,0.0005348
76,623.392,0.07223,0.33709,0.76122,0.99091,1,0.995,0.7463,0.9135,0.94392,1.31721,0.000515,0.000515,0.000515
77,630.463,0.06326,0.31597,0.76291,0.98596,1,0.995,0.7716,0.90693,0.93428,1.30165,0.0004952,0.0004952,0.0004952
78,637.851,0.06372,0.31477,0.76227,0.98287,1,0.995,0.78066,0.90641,0.90235,1.29858,0.0004754,0.0004754,0.0004754
79,644.723,0.06064,0.30635,0.7633,0.986,1,0.995,0.7722,0.89498,0.88496,1.28682,0.0004556,0.0004556,0.0004556
80,651.909,0.05154,0.29501,0.76223,0.99242,1,0.995,0.78972,0.86366,0.87309,1.24457,0.0004358,0.0004358,0.0004358
81,658.868,0.05499,0.30555,0.76012,0.99485,1,0.995,0.7856,0.8875,0.86741,1.27591,0.000416,0.000416,0.000416
82,666.931,0.05158,0.28808,0.76255,0.99678,1,0.995,0.77267,0.88989,0.87651,1.29253,0.0003962,0.0003962,0.0003962
83,674.631,0.05853,0.29695,0.75965,0.99683,1,0.995,0.79001,0.86702,0.86973,1.25351,0.0003764,0.0003764,0.0003764
84,683.058,0.05192,0.28307,0.76204,0.99435,1,0.995,0.79395,0.86392,0.85615,1.24737,0.0003566,0.0003566,0.0003566
